name,type,material,material_neutral,insulator,insulator_neutral,section,section_neutral,resistance,resistance_neutral,reactance,reactance_neutral,susceptance,susceptance_neutral,ampacity,ampacity_neutral
U_CU_25,underground,cu,cu,,,25,25,0.727,0.727,0.1272251024,0.1272251024,0.0000245842,0.0000245842,161,161
U_CU_28,underground,cu,cu,,,28,28,0.6661,0.6661,0.124894529,0.124894529,0.0000251089,0.0000251089,170,170
U_CU_29,underground,cu,cu,,,29,29,0.6458,0.6458,0.1241821772,0.1241821772,0.0000252738,0.0000252738,173,173
U_CU_33,underground,cu,cu,,,33,33,0.5646,0.5646,0.1215975746,0.1215975746,0.0000258907,0.0000258907,186,186
U_CU_34,underground,cu,cu,,,34,34,0.5443,0.5443,0.1210090932,0.1210090932,0.0000260354,0.0000260354,189,189
U_CU_37,underground,cu,cu,,,37,37,0.5057333333,0.5057333333,0.119360076,0.119360076,0.0000264496,0.0000264496,196,196
U_CU_38,underground,cu,cu,,,38,38,0.4966,0.4966,0.1188454977,0.1188454977,0.0000265816,0.0000265816,199,199
U_CU_40,underground,cu,cu,,,40,40,0.4783333333,0.4783333333,0.1178632261,0.1178632261,0.0000268372,0.0000268372,203,203
U_CU_43,underground,cu,cu,,,43,43,0.4509333333,0.4509333333,0.116495047,0.116495047,0.0000272015,0.0000272015,210,210
U_CU_48,underground,cu,cu,,,48,48,0.4052666667,0.4052666667,0.1144519385,0.1144519385,0.0000277643,0.0000277643,221,221
U_CU_50,underground,cu,cu,,,50,50,0.387,0.387,0.113705448,0.113705448,0.0000279758,0.0000279758,225,225
U_CU_54,underground,cu,cu,,,54,54,0.3632,0.3632,0.112315465,0.112315465,0.0000283783,0.0000283783,235,235
U_CU_55,underground,cu,cu,,,55,55,0.35725,0.35725,0.1119874251,0.1119874251,0.000028475,0.000028475,238,238
U_CU_59,underground,cu,cu,,,59,59,0.33345,0.33345,0.1107443314,0.1107443314,0.0000288474,0.0000288474,248,248
U_CU_60,underground,cu,cu,,,60,60,0.3275,0.3275,0.1104495588,0.1104495588,0.0000289372,0.0000289372,250,250
U_CU_69,underground,cu,cu,,,69,69,0.27395,0.27395,0.1080408311,0.1080408311,0.0000296921,0.0000296921,273,273
U_CU_70,underground,cu,cu,,,70,70,0.268,0.268,0.1077971677,0.1077971677,0.0000297707,0.0000297707,276,276
U_CU_74,underground,cu,cu,,,74,74,0.256,0.256,0.1068637229,0.1068637229,0.0000300755,0.0000300755,285,285
U_CU_75,underground,cu,cu,,,75,75,0.253,0.253,0.1066400577,0.1066400577,0.0000301495,0.0000301495,287,287
